Countries,downloads,visitors,/search,/es/search,/ja/search,/fr/search,/uk/search,/zh/search,/zh-tw/search,/ru/search,/pt/search,/ar/search
French Polynesia,29,3415,215,0,0,57,1,0,0,0,3,0
Liberia,29,2601,89,0,0,0,0,0,0,0,0,0
Samoa,29,1462,66,0,0,0,0,0,0,0,0,0
"Bonaire, Sint Eustatius and Saba",29,900,57,0,0,0,0,0,0,0,0,0
Bahrain,27,2488,53,0,0,0,0,0,0,0,0,4
Republic of the Congo,26,2510,66,0,0,39,0,1,0,0,0,0
Greenland,26,946,173,2,0,0,0,0,0,0,0,0
Saint Helena,21,72,1,0,0,0,0,0,0,0,0,0
Kyrgyzstan,19,4636,267,3,0,2,0,0,0,94,6,0
Guernsey,19,1264,66,0,0,0,0,0,0,0,0,0
Cayman Islands,18,928,155,1,0,0,0,0,0,0,0,0
Syria,17,11590,180,3,0,5,0,0,0,0,2,42
Maldives,16,2399,177,0,0,0,0,1,0,0,0,0
Saint Kitts and Nevis,15,540,14,1,0,0,0,0,0,0,0,0
Mayotte,13,1541,49,1,0,24,0,0,0,0,0,0
Gambia,13,839,24,0,0,2,0,0,0,0,1,1
Grenada,12,952,26,0,0,0,0,0,0,0,0,0
Gibraltar,12,906,360,1,0,0,0,0,0,0,0,0
Bermuda,12,493,15,0,0,0,0,0,0,0,0,0
Timor-Leste,11,3076,215,3,0,0,0,0,0,0,17,0
Faeroe Islands,11,1817,306,0,0,0,0,0,0,0,1,0
Falkland Islands / Malvinas,11,190,21,0,0,3,0,0,0,0,0,0
Mauritania,10,2758,95,2,0,16,0,0,0,0,0,13
United States Virgin Islands,10,1665,57,0,0,0,0,0,0,0,0,0
Guinea-Bissau,10,584,17,0,0,0,0,0,0,0,2,0
Isle of Man,9,616,34,0,0,0,0,0,0,0,0,0
Central African Republic,9,403,5,0,0,2,0,0,0,0,0,0
South Sudan,8,1861,20,1,0,0,0,0,0,0,0,0
Sierra Leone,8,1288,66,0,0,1,0,0,0,0,1,0
Dominica,8,414,12,1,0,2,0,0,0,0,0,0
Yemen,7,6645,364,13,1,2,0,1,0,4,1,61
Kosovo,6,3662,130,0,0,2,1,0,0,0,0,0
São Tomé and Principe,6,1717,96,2,0,0,1,0,0,0,13,0
Comoros,6,1698,34,0,0,9,0,0,0,0,1,0
Curaçao,6,1574,53,1,0,0,0,0,0,0,1,0
Equatorial Guinea,6,483,24,14,0,0,0,0,0,0,0,1
Anguilla,6,243,55,0,0,0,0,0,0,0,0,0
Turkmenistan,5,1806,20,2,0,0,0,1,0,12,0,0
